movie_key,person_key,department,job,character_name,billing_order
mov_10_cloverfield_lane_2016_5f4fa2,per_dan_trachtenberg_f40b2e,Directing,Director,,1
mov_10_cloverfield_lane_2016_5f4fa2,per_mary_elizabeth_winstead_c0aac2,Acting,Actor,,1
mov_10_cloverfield_lane_2016_5f4fa2,per_john_goodman_0f048e,Acting,Actor,,2
mov_10_cloverfield_lane_2016_5f4fa2,per_john_gallagher_5f01c8,Acting,Actor,,3
mov_13_hours_the_secret_soldiers_of_benghazi_2016_10854d,per_michael_bay_84fd22,Directing,Director,,1
mov_13_hours_the_secret_soldiers_of_benghazi_2016_10854d,per_james_badge_dale_25bafc,Acting,Actor,,1
mov_13_hours_the_secret_soldiers_of_benghazi_2016_10854d,per_john_krasinski_d7a307,Acting,Actor,,2
mov_13_hours_the_secret_soldiers_of_benghazi_2016_10854d,per_toby_stephens_05d84d,Acting,Actor,,3
mov_13_hours_the_secret_soldiers_of_benghazi_2016_10854d,per_pablo_schreiber_fb8137,Acting,Actor,,4
mov_13_hours_the_secret_soldiers_of_benghazi_2016_10854d,per_max_martini_f6c593,Acting,Actor,,5
mov_2_guns_2013_ae1a91,per_baltasar_kormakur_1664d0,Directing,Director,,1
mov_2_guns_2013_ae1a91,per_mark_wahlberg_586641,Acting,Actor,,1
mov_2_guns_2013_ae1a91,per_denzel_washington_c196ac,Acting,Actor,,2
mov_2_guns_2013_ae1a91,per_paula_patton_711e94,Acting,Actor,,3
mov_2_guns_2013_ae1a91,per_bill_paxton_49b53f,Acting,Actor,,4
mov_2_guns_2013_ae1a91,per_edward_james_olmos_f263ba,Acting,Actor,,5
mov_21_jump_street_2012_bf48d9,per_phil_lord_0a43a0,Directing,Director,,1
mov_21_jump_street_2012_bf48d9,per_chris_miller_b0a4e3,Directing,Director,,2
mov_21_jump_street_2012_bf48d9,per_jonah_hill_e4e6f0,Acting,Actor,,1
mov_21_jump_street_2012_bf48d9,per_channing_tatum_c931b9,Acting,Actor,,2
mov_21_jump_street_2012_bf48d9,per_ice_cube_f11093,Acting,Actor,,3
mov_21_jump_street_2012_bf48d9,per_brie_larson_d50299,Acting,Actor,,4
mov_21_jump_street_2012_bf48d9,per_rob_riggle_1bbac0,Acting,Actor,,5
mov_22_jump_street_2014_4fc280,per_phil_lord_0a43a0,Directing,Director,,1
mov_22_jump_street_2014_4fc280,per_chris_miller_b0a4e3,Directing,Director,,2
mov_22_jump_street_2014_4fc280,per_channing_tatum_c931b9,Acting,Actor,,1
mov_22_jump_street_2014_4fc280,per_jonah_hill_e4e6f0,Acting,Actor,,2
mov_22_jump_street_2014_4fc280,per_ice_cube_f11093,Acting,Actor,,3
mov_300_rise_of_an_empire_2014_0dc971,per_noam_murro_fc3e50,Directing,Director,,1
mov_300_rise_of_an_empire_2014_0dc971,per_rodrigo_santoro_e0ee1a,Acting,Actor,,1
mov_300_rise_of_an_empire_2014_0dc971,per_eva_green_a3e34c,Acting,Actor,,2
mov_300_rise_of_an_empire_2014_0dc971,per_sullivan_stapleton_3f0962,Acting,Actor,,3
mov_300_rise_of_an_empire_2014_0dc971,per_hans_matheson_b16c36,Acting,Actor,,4
mov_300_rise_of_an_empire_2014_0dc971,per_lena_headey_b46887,Acting,Actor,,5
mov_42_2013_16c560,per_brian_helgeland_701ce2,Directing,Director,,1
mov_42_2013_16c560,per_harrison_ford_462172,Acting,Actor,,1
mov_42_2013_16c560,per_chadwick_boseman_572492,Acting,Actor,,2
mov_42_2013_16c560,per_christopher_meloni_a8764b,Acting,Actor,,3
mov_42_2013_16c560,per_ryan_merriman_2cb3a7,Acting,Actor,,4
mov_42_2013_16c560,per_andre_holland_7bcb23,Acting,Actor,,5
mov_71_2014_525029,per_yann_demange_525fdf,Directing,Director,,1
mov_71_2014_525029,per_jack_o_connell_63a57a,Acting,Actor,,1
mov_71_2014_525029,per_richard_dormer_5b42b0,Acting,Actor,,2
mov_71_2014_525029,per_sean_harris_86d042,Acting,Actor,,3
mov_71_2014_525029,per_sam_reid_6b8a33,Acting,Actor,,4
mov_90_minutes_in_heaven_2015_051046,per_michael_polish_5feb3c,Directing,Director,,1
mov_90_minutes_in_heaven_2015_051046,per_hayden_christensen_a0228a,Acting,Actor,,1
mov_90_minutes_in_heaven_2015_051046,per_kate_bosworth_d17f5f,Acting,Actor,,2
mov_90_minutes_in_heaven_2015_051046,per_dwight_yoakam_1ac663,Acting,Actor,,3
mov_90_minutes_in_heaven_2015_051046,per_michael_w_smith_dcb5f2,Acting,Actor,,4
mov_a_good_day_to_die_hard_2013_307efc,per_john_moore_6b7f2d,Directing,Director,,1
mov_a_good_day_to_die_hard_2013_307efc,per_bruce_willis_4529e1,Acting,Actor,,1
mov_a_good_day_to_die_hard_2013_307efc,per_jai_courtney_be875b,Acting,Actor,,2
mov_a_good_day_to_die_hard_2013_307efc,per_sebastian_koch_16831d,Acting,Actor,,3
mov_a_good_day_to_die_hard_2013_307efc,per_yuliya_snigir_bba6ae,Acting,Actor,,4
mov_a_good_day_to_die_hard_2013_307efc,per_radivoje_bukvic_ba7ed4,Acting,Actor,,5
mov_a_haunted_house_2013_4f3e9c,per_michael_tiddes_0dc5eb,Directing,Director,,1
mov_a_haunted_house_2013_4f3e9c,per_marlon_wayans_020bd7,Acting,Actor,,1
mov_a_haunted_house_2013_4f3e9c,per_nick_swardson_830dc4,Acting,Actor,,2
