date_key,date,year,quarter,month,month_name,day
20100106,2010-01-06,2010,1,1,January,6
20100108,2010-01-08,2010,1,1,January,8
20100114,2010-01-14,2010,1,1,January,14
20100115,2010-01-15,2010,1,1,January,15
20100120,2010-01-20,2010,1,1,January,20
20100121,2010-01-21,2010,1,1,January,21
20100122,2010-01-22,2010,1,1,January,22
20100128,2010-01-28,2010,1,1,January,28
20100129,2010-01-29,2010,1,1,January,29
20100201,2010-02-01,2010,1,2,February,1
20100204,2010-02-04,2010,1,2,February,4
20100210,2010-02-10,2010,1,2,February,10
20100212,2010-02-12,2010,1,2,February,12
20100214,2010-02-14,2010,1,2,February,14
20100223,2010-02-23,2010,1,2,February,23
20100226,2010-02-26,2010,1,2,February,26
20100303,2010-03-03,2010,1,3,March,3
20100304,2010-03-04,2010,1,3,March,4
20100305,2010-03-05,2010,1,3,March,5
20100309,2010-03-09,2010,1,3,March,9
20100310,2010-03-10,2010,1,3,March,10
20100311,2010-03-11,2010,1,3,March,11
20100312,2010-03-12,2010,1,3,March,12
20100316,2010-03-16,2010,1,3,March,16
20100317,2010-03-17,2010,1,3,March,17
20100318,2010-03-18,2010,1,3,March,18
20100319,2010-03-19,2010,1,3,March,19
20100326,2010-03-26,2010,1,3,March,26
20100331,2010-03-31,2010,1,3,March,31
20100402,2010-04-02,2010,2,4,April,2
20100408,2010-04-08,2010,2,4,April,8
20100409,2010-04-09,2010,2,4,April,9
20100415,2010-04-15,2010,2,4,April,15
20100417,2010-04-17,2010,2,4,April,17
20100423,2010-04-23,2010,2,4,April,23
20100428,2010-04-28,2010,2,4,April,28
20100429,2010-04-29,2010,2,4,April,29
20100430,2010-04-30,2010,2,4,April,30
20100512,2010-05-12,2010,2,5,May,12
20100513,2010-05-13,2010,2,5,May,13
20100519,2010-05-19,2010,2,5,May,19
20100520,2010-05-20,2010,2,5,May,20
20100526,2010-05-26,2010,2,5,May,26
20100603,2010-06-03,2010,2,6,June,3
20100604,2010-06-04,2010,2,6,June,4
20100609,2010-06-09,2010,2,6,June,9
20100610,2010-06-10,2010,2,6,June,10
20100615,2010-06-15,2010,2,6,June,15
20100616,2010-06-16,2010,2,6,June,16
20100623,2010-06-23,2010,2,6,June,23
20100624,2010-06-24,2010,2,6,June,24
20100630,2010-06-30,2010,2,6,June,30
20100705,2010-07-05,2010,3,7,July,5
20100707,2010-07-07,2010,3,7,July,7
20100708,2010-07-08,2010,3,7,July,8
20100709,2010-07-09,2010,3,7,July,9
20100710,2010-07-10,2010,3,7,July,10
20100713,2010-07-13,2010,3,7,July,13
20100715,2010-07-15,2010,3,7,July,15
20100716,2010-07-16,2010,3,7,July,16
20100721,2010-07-21,2010,3,7,July,21
20100722,2010-07-22,2010,3,7,July,22
20100723,2010-07-23,2010,3,7,July,23
20100729,2010-07-29,2010,3,7,July,29
20100730,2010-07-30,2010,3,7,July,30
20100804,2010-08-04,2010,3,8,August,4
20100806,2010-08-06,2010,3,8,August,6
20100807,2010-08-07,2010,3,8,August,7
20100812,2010-08-12,2010,3,8,August,12
20100818,2010-08-18,2010,3,8,August,18
20100820,2010-08-20,2010,3,8,August,20
20100821,2010-08-21,2010,3,8,August,21
20100822,2010-08-22,2010,3,8,August,22
20100826,2010-08-26,2010,3,8,August,26
20100827,2010-08-27,2010,3,8,August,27
20100831,2010-08-31,2010,3,8,August,31
20100901,2010-09-01,2010,3,9,September,1
20100908,2010-09-08,2010,3,9,September,8
20100915,2010-09-15,2010,3,9,September,15
20100916,2010-09-16,2010,3,9,September,16
20100918,2010-09-18,2010,3,9,September,18
20100920,2010-09-20,2010,3,9,September,20
20100922,2010-09-22,2010,3,9,September,22
20100923,2010-09-23,2010,3,9,September,23
