movie_key,movie_title,release_year,wikipedia_url,tmdb_id,imdb_id,wikidata_qid,match_status,match_confidence
mov_tmdb_19901,Daybreakers,2010,,19901,tt0433362,Q1128499,matched,tmdb_source
mov_tmdb_25195,Leap Year,2010,,25195,tt1216492,Q657204,matched,tmdb_source
mov_tmdb_20504,The Book of Eli,2010,,20504,tt1037705,Q274529,matched,tmdb_source
mov_tmdb_23023,Tooth Fairy,2010,,23023,tt0808510,Q143605,matched,tmdb_source
mov_tmdb_23172,The Spy Next Door,2010,,23172,tt1273678,Q847435,matched,tmdb_source
mov_tmdb_31059,Our Russia: Eggs of Destiny,2010,,31059,tt1569465,Q4315216,matched,tmdb_source
mov_tmdb_22894,Legion,2010,,22894,tt1038686,Q287960,matched,tmdb_source
mov_tmdb_36970,Oceans,2010,,36970,tt0765128,Q597788,matched,tmdb_source
mov_tmdb_12201,Edge of Darkness,2010,,12201,tt1226273,Q760093,matched,tmdb_source
mov_tmdb_13477,When in Rome,2010,,13477,tt1185416,Q1139016,matched,tmdb_source
mov_tmdb_32657,Percy Jackson & the Olympians: The Lightning Thief,2010,,32657,tt0814255,Q244333,matched,tmdb_source
mov_tmdb_22971,Dear John,2010,,22971,tt0989757,Q867138,matched,tmdb_source
mov_tmdb_26389,From Paris with Love,2010,,26389,tt1179034,Q865346,matched,tmdb_source
mov_tmdb_26022,My Name Is Khan,2010,,26022,tt1188996,Q330663,matched,tmdb_source
mov_tmdb_7978,The Wolfman,2010,,7978,tt0780653,Q205532,matched,tmdb_source
mov_tmdb_32856,Valentine's Day,2010,,32856,tt0817230,Q244975,matched,tmdb_source
mov_tmdb_11439,The Ghost Writer,2010,,11439,tt1139328,Q157879,matched,tmdb_source
mov_tmdb_11324,Shutter Island,2010,,11324,tt1130884,Q210364,matched,tmdb_source
mov_tmdb_28510,Universal Soldier: Regeneration,2010,,28510,tt1288403,Q1466178,matched,tmdb_source
mov_tmdb_23742,Cop Out,2010,,23742,tt1385867,Q849140,matched,tmdb_source
mov_tmdb_29427,The Crazies,2010,,29427,tt0455407,Q427296,matched,tmdb_source
mov_tmdb_12155,Alice in Wonderland,2010,,12155,tt1014759,Q174385,matched,tmdb_source
mov_tmdb_26390,Brooklyn's Finest,2010,,26390,tt1210042,Q905385,matched,tmdb_source
mov_tmdb_73509,Bakhit and Bakhita,2010,,73509,tt34348048,,matched,tmdb_source
mov_tmdb_1724676,Love Never Dies,2010,,1724676,,,matched,tmdb_source
mov_tmdb_41411,The Round Up,2010,,41411,tt1382725,Q700573,matched,tmdb_source
mov_tmdb_22972,Green Zone,2010,,22972,tt0947810,Q632328,matched,tmdb_source
mov_tmdb_23169,Remember Me,2010,,23169,tt1403981,Q632680,matched,tmdb_source
mov_tmdb_34016,She's Out of My League,2010,,34016,tt0815236,Q140009,matched,tmdb_source
mov_tmdb_34563,Our Family Wedding,2010,,34563,tt1305583,Q2625088,matched,tmdb_source
mov_tmdb_27573,The Bounty Hunter,2010,,27573,tt1038919,Q741737,matched,tmdb_source
mov_tmdb_41211,Heartbreaker,2010,,41211,tt1465487,Q1192319,matched,tmdb_source
mov_tmdb_10191,How to Train Your Dragon,2010,,10191,tt0892769,Q373096,matched,tmdb_source
mov_tmdb_33217,Diary of a Wimpy Kid,2010,,33217,tt1196141,Q74671,matched,tmdb_source
mov_tmdb_18823,Clash of the Titans,2010,,18823,tt0800320,Q192979,matched,tmdb_source
mov_tmdb_23048,Hot Tub Time Machine,2010,,23048,tt1231587,Q925072,matched,tmdb_source
mov_tmdb_23483,Kick-Ass,2010,,23483,tt1250777,Q2201,matched,tmdb_source
mov_tmdb_35019,Nanny McPhee and the Big Bang,2010,,35019,tt1415283,Q785249,matched,tmdb_source
mov_tmdb_35690,The Last Song,2010,,35690,tt1294226,Q900362,matched,tmdb_source
mov_tmdb_35688,Why Did I Get Married Too?,2010,,35688,tt1391137,Q3078078,matched,tmdb_source
mov_tmdb_35056,Date Night,2010,,35056,tt1279935,Q1139801,matched,tmdb_source
mov_tmdb_35552,The Extraordinary Adventures of Adèle Blanc-Sec,2010,,35552,tt1179025,Q380349,matched,tmdb_source
mov_tmdb_34803,Death at a Funeral,2010,,34803,tt1321509,Q1508378,matched,tmdb_source
mov_tmdb_38234,Undisputed III: Redemption,2010,,38234,tt1156466,Q1092933,matched,tmdb_source
mov_tmdb_34806,The Back-Up Plan,2010,,34806,tt1212436,Q908423,matched,tmdb_source
mov_tmdb_34813,The Losers,2010,,34813,tt0480255,Q1760081,matched,tmdb_source
mov_tmdb_10138,Iron Man 2,2010,,10138,tt1228705,Q205028,matched,tmdb_source
mov_tmdb_37472,Ip Man 2,2010,,37472,tt1386932,Q1193433,matched,tmdb_source
mov_tmdb_23437,A Nightmare on Elm Street,2010,,23437,tt1179056,Q300508,matched,tmdb_source
mov_tmdb_35169,Furry Vengeance,2010,,35169,tt0492389,Q910191,matched,tmdb_source
