movie_key,tmdb_id,movie_title,release_date,wikipedia_url,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,director_1,director_2,cast_1,cast_2,cast_3,cast_4,cast_5,budget_usd,box_office_revenue_usd
mov_tmdb_20504,20504,The Book of Eli,2010-01-14,,Action,Thriller,Science Fiction,,,,Allen Hughes,Albert Hughes,Denzel Washington,Gary Oldman,Mila Kunis,Ray Stevenson,Jennifer Beals,80000000,157107755
mov_tmdb_23023,23023,Tooth Fairy,2010-01-14,,Comedy,Family,Fantasy,,,,Michael Lembeck,,Dwayne Johnson,Stephen Merchant,Ashley Judd,Julie Andrews,Ryan Sheckler,48000000,112462508
mov_tmdb_23172,23172,The Spy Next Door,2010-01-15,,Action,Comedy,Family,,,,Brian Levant,,Jackie Chan,Amber Valletta,Madeline Carroll,Will Shadley,Alina Foley,28000000,66166000
mov_tmdb_22894,22894,Legion,2010-01-21,,Action,Fantasy,Horror,,,,Scott Stewart,,Paul Bettany,Dennis Quaid,Lucas Black,Kate Walsh,Tyrese Gibson,26000000,67918658
mov_tmdb_36970,36970,Oceans,2010-01-22,,Documentary,Family,Drama,,,,Jacques Perrin,,Jacques Perrin,,,,,80000000,83090556
mov_tmdb_12201,12201,Edge of Darkness,2010-01-28,,Crime,Drama,Mystery,Thriller,,,Martin Campbell,,Mel Gibson,Ray Winstone,Danny Huston,Bojana Novaković,Shawn Roberts,80000000,81126522
mov_tmdb_32657,32657,Percy Jackson & the Olympians: The Lightning Thief,2010-02-01,,Adventure,Fantasy,Family,,,,Chris Columbus,,Logan Lerman,Brandon T. Jackson,Alexandra Daddario,Jake Abel,Pierce Brosnan,95000000,226497209
mov_tmdb_22971,22971,Dear John,2010-02-04,,Drama,Romance,War,,,,Lasse Hallström,,Amanda Seyfried,Channing Tatum,Richard Jenkins,Henry Thomas,D.J. Cotrona,25000000,114977104
mov_tmdb_7978,7978,The Wolfman,2010-02-10,,Horror,,,,,,Joe Johnston,,Benicio del Toro,Anthony Hopkins,Emily Blunt,Hugo Weaving,Geraldine Chaplin,150000000,140700000
mov_tmdb_32856,32856,Valentine's Day,2010-02-10,,Comedy,Romance,,,,,Garry Marshall,,Jessica Alba,Kathy Bates,Jessica Biel,Bradley Cooper,Eric Dane,52000000,216528528
mov_tmdb_11324,11324,Shutter Island,2010-02-14,,Drama,Thriller,Mystery,,,,Martin Scorsese,,Leonardo DiCaprio,Mark Ruffalo,Ben Kingsley,Max von Sydow,Michelle Williams,80000000,294804195
mov_tmdb_28510,28510,Universal Soldier: Regeneration,2010-02-23,,Adventure,Action,Science Fiction,Thriller,,,John Hyams,,Jean-Claude Van Damme,Dolph Lundgren,Andrei Arlovski,Mike Pyle,Corey Johnson,14000000,153977852
mov_tmdb_12155,12155,Alice in Wonderland,2010-03-03,,Family,Fantasy,Adventure,,,,Tim Burton,,Mia Wasikowska,Johnny Depp,Anne Hathaway,Helena Bonham Carter,Crispin Glover,200000000,1025467110
mov_tmdb_22972,22972,Green Zone,2010-03-11,,War,Action,Adventure,Drama,Thriller,,Paul Greengrass,,Matt Damon,Greg Kinnear,Brendan Gleeson,Amy Ryan,Khalid Abdalla,100000000,94882889
mov_tmdb_27573,27573,The Bounty Hunter,2010-03-16,,Action,Comedy,Romance,,,,Andy Tennant,,Jennifer Aniston,Gerard Butler,Jason Sudeikis,Jeff Garlin,Ritchie Coster,40000000,136300000
mov_tmdb_10191,10191,How to Train Your Dragon,2010-03-18,,Fantasy,Adventure,Animation,Family,,,Dean DeBlois,Chris Sanders,Jay Baruchel,Gerard Butler,Craig Ferguson,America Ferrera,Jonah Hill,165000000,495141736
mov_tmdb_33217,33217,Diary of a Wimpy Kid,2010-03-19,,Comedy,Family,,,,,Thor Freudenthal,,Zachary Gordon,Robert Capron,Steve Zahn,Devon Bostick,Rachael Harris,15000000,75700000
mov_tmdb_18823,18823,Clash of the Titans,2010-03-26,,Adventure,Fantasy,Action,,,,Louis Leterrier,,Sam Worthington,Gemma Arterton,Mads Mikkelsen,Alexa Davalos,Jason Flemyng,125000000,493214993
mov_tmdb_23048,23048,Hot Tub Time Machine,2010-03-26,,Science Fiction,Comedy,Adventure,,,,Steve Pink,,John Cusack,Craig Robinson,Rob Corddry,Clark Duke,Sebastian Stan,36000000,64780213
mov_tmdb_23483,23483,Kick-Ass,2010-03-26,,Action,Crime,,,,,Matthew Vaughn,,Aaron Taylor-Johnson,Chloë Grace Moretz,Nicolas Cage,Lyndsy Fonseca,Mark Strong,28000000,96188903
mov_tmdb_35019,35019,Nanny McPhee and the Big Bang,2010-03-26,,Comedy,Fantasy,Family,,,,Susanna White,,Emma Thompson,Asa Butterfield,Lil Woods,Oscar Steer,Rosie Taylor-Ritson,35000000,93251121
mov_tmdb_35690,35690,The Last Song,2010-03-31,,Drama,Family,Romance,,,,Julie Anne Robinson,,Miley Cyrus,Greg Kinnear,Bobby Coleman,Liam Hemsworth,Hallock Beals,20000000,89137047
mov_tmdb_35056,35056,Date Night,2010-04-08,,Comedy,Action,Adventure,,,,Shawn Levy,,Steve Carell,Tina Fey,Mark Wahlberg,Taraji P. Henson,Jimmi Simpson,55000000,152300000
mov_tmdb_38234,38234,Undisputed III: Redemption,2010-04-17,,Action,Thriller,Crime,Drama,,,Isaac Florentine,,Scott Adkins,Mykel Shannon Jenkins,Mark Ivanir,Hristo Shopov,Marko Zaror,3000000,76500000
mov_tmdb_34806,34806,The Back-Up Plan,2010-04-23,,Comedy,Romance,,,,,Alan Poul,,Jennifer Lopez,Alex O'Loughlin,Michaela Watkins,Eric Christian Olsen,Anthony Anderson,35000000,77477008
mov_tmdb_10138,10138,Iron Man 2,2010-04-28,,Adventure,Action,Science Fiction,,,,Jon Favreau,,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Scarlett Johansson,Sam Rockwell,200000000,623933331
mov_tmdb_23437,23437,A Nightmare on Elm Street,2010-04-30,,Horror,Mystery,Thriller,,,,Samuel Bayer,,Rooney Mara,Kyle Gallner,Jackie Earle Haley,Katie Cassidy,Thomas Dekker,35000000,115665418
mov_tmdb_20662,20662,Robin Hood,2010-05-12,,Action,Adventure,History,Drama,,,Ridley Scott,,Russell Crowe,Cate Blanchett,Max von Sydow,William Hurt,Mark Strong,200000000,321669741
mov_tmdb_37056,37056,Letters to Juliet,2010-05-13,,Comedy,Drama,Romance,,,,Gary Winick,,Amanda Seyfried,Christopher Egan,Gael García Bernal,Vanessa Redgrave,Franco Nero,30000000,82148538
mov_tmdb_9543,9543,Prince of Persia: The Sands of Time,2010-05-19,,Adventure,Fantasy,Action,,,,Mike Newell,,Jake Gyllenhaal,Gemma Arterton,Ben Kingsley,Alfred Molina,Steve Toussaint,200000000,336365676
mov_tmdb_10192,10192,Shrek Forever After,2010-05-20,,Comedy,Adventure,Fantasy,Animation,Family,,Mike Mitchell,,Mike Myers,Eddie Murphy,Cameron Diaz,Antonio Banderas,Walt Dohrn,165000000,752600867
mov_tmdb_37786,37786,Sex and the City 2,2010-05-26,,Comedy,Drama,Romance,,,,Michael Patrick King,,Sarah Jessica Parker,Kim Cattrall,Kristin Davis,Cynthia Nixon,Chris Noth,100000000,290700000
mov_tmdb_32823,32823,Get Him to the Greek,2010-06-03,,Adventure,Comedy,Music,,,,Nicholas Stoller,,Jonah Hill,Russell Brand,Rose Byrne,Elisabeth Moss,Tyler McKinney,40000000,90029656
mov_tmdb_38579,38579,Marmaduke,2010-06-03,,Family,Comedy,,,,,Tom Dey,,Owen Wilson,Emma Stone,George López,Caroline Sunshine,Finley Jacobsen,50000000,83761844
mov_tmdb_37821,37821,Killers,2010-06-04,,Action,Comedy,Thriller,Romance,,,Robert Luketic,,Ashton Kutcher,Katherine Heigl,Tom Selleck,Catherine O'Hara,Katheryn Winnick,75000000,98159963
mov_tmdb_34544,34544,The A-Team,2010-06-09,,Action,Comedy,Crime,,,,Joe Carnahan,,Liam Neeson,Bradley Cooper,Jessica Biel,Quinton 'Rampage' Jackson,Sharlto Copley,110000000,177238796
mov_tmdb_38575,38575,The Karate Kid,2010-06-10,,Action,Adventure,Drama,Family,,,Harald Zwart,,Jaden Smith,Jackie Chan,Taraji P. Henson,Wenwen Han,Zac Wang,40000000,359126022
mov_tmdb_37834,37834,Knight and Day,2010-06-15,,Action,Comedy,,,,,James Mangold,,Tom Cruise,Cameron Diaz,Peter Sarsgaard,Viola Davis,Jordi Mollà,117000000,261989769
