movie_key,person_name,tmdb_person_id,profile_path,department,job,tmdb_credit_id
mov_tmdb_19901,Michael Spierig,56501,/hDj7wXT937jZZjU7lJ8aTuKoBg5.jpg,Directing,Director,52fe47f79251416c750ab73b
mov_tmdb_19901,Peter Spierig,56502,/1M1FX7YR9Dq0DhawzQ0vT0tx678.jpg,Directing,Director,52fe47f79251416c750ab741
mov_tmdb_25195,Anand Tucker,26481,/mmR4URdOgo21p3VDzUb63PrtwWD.jpg,Directing,Director,52fe44bdc3a368484e03412b
mov_tmdb_20504,Allen Hughes,11448,/cenYyg8GR89817xnAHU6hNiFZ2x.jpg,Directing,Director,52fe43e9c3a368484e005861
mov_tmdb_20504,Albert Hughes,11447,/9wfPXTkur93ZUyUH35lBQRNSY3y.jpg,Directing,Director,52fe43e9c3a368484e00585b
mov_tmdb_23023,Michael Lembeck,15045,/f1Bf2p9YvPIaTZMUhYxhCx5yxLP.jpg,Directing,Director,52fe445bc3a368484e01e5e1
mov_tmdb_23172,Brian Levant,13581,/w5i30CI5PekRZry3AgME1ntEQSP.jpg,Directing,Director,52fe4461c3a368484e01fbd7
mov_tmdb_31059,Gleb Orlov,139467,,Directing,Director,52fe445a9251416c9100dc03
mov_tmdb_22894,Scott Stewart,116357,/xRiy8vYAko69prR8E6XPTKGS9gw.jpg,Directing,Director,52fe4454c3a368484e01cf83
mov_tmdb_36970,Jacques Perrin,20030,/lGbDfSdDgFg3QHgungWIDsV9uh7.jpg,Directing,Director,52fe461e9251416c91049bd7
mov_tmdb_12201,Martin Campbell,10702,/xAaNHXBrwTPDjZRs5vDD0fMO9bx.jpg,Directing,Director,52fe44c99251416c75040dc9
mov_tmdb_13477,Mark Steven Johnson,16837,/fhMvsLJyTDfj39qPSR6ZBEEMoDE.jpg,Directing,Director,52fe456e9251416c750564dd
mov_tmdb_32657,Chris Columbus,10965,/yCyEz90NqjEXKZ7HYcEhDXlLlPc.jpg,Directing,Director,52fe44e29251416c91020209
mov_tmdb_22971,Lasse Hallström,5306,/zEz9LphkDBcGAAYGdjIU5QzjB9C.jpg,Directing,Director,52fe4458c3a368484e01dd37
mov_tmdb_26389,Pierre Morel,35453,/pfuvCNPt4BtK81GnMy4GpxYoCs9.jpg,Directing,Director,52fe44ffc3a368484e042d17
mov_tmdb_26022,Karan Johar,35736,/zip1x7OXOBxXxcdYvKOgw6MnAWm.jpg,Directing,Director,52fe44ebc3a368484e03e3c9
mov_tmdb_7978,Joe Johnston,4945,/fbGZo6CG9Z9zKFh8D5wHunyu7gJ.jpg,Directing,Director,52fe448ac3a36847f809bd65
mov_tmdb_32856,Garry Marshall,1201,/uYVagiSCH4gj3BcYownQySVwfy7.jpg,Directing,Director,52fe44ec9251416c91021721
mov_tmdb_11439,Roman Polanski,3556,/60UYC6apdoC8VBh62WCkZ2LPGPk.jpg,Directing,Director,52fe443f9251416c7502e011
mov_tmdb_11324,Martin Scorsese,1032,/g3DjfKsgZQWZiw30I20hZVk1oMX.jpg,Directing,Director,52fe44269251416c7502a8a7
mov_tmdb_28510,John Hyams,62941,/7NosT6z5tAM0HlujmIyLpKJckAy.jpg,Directing,Director,52fe459dc3a368484e0652ab
mov_tmdb_23742,Kevin Smith,19303,/g8sC36zUTkSTh7y9HjWa4Rbr0JP.jpg,Directing,Director,52fe4475c3a368484e0242db
mov_tmdb_29427,Breck Eisner,52609,/8ouzxw59UfkIw8Pm0fo4T1ptTCc.jpg,Directing,Director,52fe45dfc3a368484e073b53
mov_tmdb_12155,Tim Burton,510,/wcjuY5vD1nlfwWNbvvTGg5dGoRR.jpg,Directing,Director,52fe44c09251416c7503fb1d
mov_tmdb_26390,Antoine Fuqua,20907,/h58HRBCQOtWIR8zMqOIVgkHjssU.jpg,Directing,Director,52fe44ffc3a368484e042da1
mov_tmdb_73509,Ali Al-Husaini,4720776,,Directing,Director,66484e258ee7f81e2d926276
mov_tmdb_1724676,Jack O'Brien,1242558,/fnnxoD9Ch3XjR4VQaheLJ8hD8xM.jpg,Directing,Director,6a45f3c7d5dc73f757d64131
mov_tmdb_41411,Roselyne Bosch,21269,/7dh0aah6M7N5H0gwrruAyogFdgT.jpg,Directing,Director,52fe45c7c3a36847f80d9fc1
mov_tmdb_22972,Paul Greengrass,25598,/kJxQWrERq8p7gxRP2fIcS8suwme.jpg,Directing,Director,52fe4458c3a368484e01de31
mov_tmdb_23169,Allen Coulter,16834,/q3KnyrQqaJ20kkIyo3Z5PqNCWlE.jpg,Directing,Director,52fe4461c3a368484e01fb4d
mov_tmdb_34016,Jim Field Smith,111686,/4eXQUAOJ9W6ny621hLFncoXeoQQ.jpg,Directing,Director,52fe454b9251416c9102d6cf
mov_tmdb_34563,Rick Famuyiwa,51866,/zvpQOPiD5RLfjKBJyNgHYNocy7X.jpg,Directing,Director,52fe456b9251416c91031b95
mov_tmdb_27573,Andy Tennant,17167,/bvHhEFoAlPbbtioxrWZaOFNAu71.jpg,Directing,Director,52fe4554c3a368484e053fbf
mov_tmdb_41211,Pascal Chaumeil,8392,/ntPIpGnAUCZsp6paaG9sYn5aBX0.jpg,Directing,Director,52fe45bcc3a36847f80d7869
mov_tmdb_10191,Dean DeBlois,69797,/nnaiwvrJdfjpsdqjuyYlq9S0uMA.jpg,Directing,Director,52fe433e9251416c7500902d
mov_tmdb_10191,Chris Sanders,66193,/8mKI9aPT5btPz0n0O3knHjKMDCe.jpg,Directing,Director,52fe433e9251416c75009033
mov_tmdb_33217,Thor Freudenthal,109857,/9nYi50GXME1QRhl38vqIaMxrptC.jpg,Directing,Director,52fe45059251416c91024c7f
mov_tmdb_18823,Louis Leterrier,18865,/bpqqRRyCLeoAup2OAv1Dtm5C8Tn.jpg,Directing,Director,52fe479e9251416c7509fe4b
mov_tmdb_23048,Steve Pink,3227,/m1JexFpTc8bPFulS2kyXmSup0Vy.jpg,Directing,Director,52fe445cc3a368484e01e90d
mov_tmdb_23483,Matthew Vaughn,957,/Dnbz3B7yy4u0abixuD5LakZgsy.jpg,Directing,Director,52fe446ac3a368484e021dcd
mov_tmdb_35019,Susanna White,113600,/clkJ2IVpaJSFIW7ROvURETtykhU.jpg,Directing,Director,52fe458b9251416c910361d9
mov_tmdb_35690,Julie Anne Robinson,114597,/aU45ueRolsFcMfdoxENSTXvAzTO.jpg,Directing,Director,52fe45b09251416c9103af43
mov_tmdb_35688,Tyler Perry,80602,/8KU0OizemVLrERXt5HJIa0PAkIN.jpg,Directing,Director,52fe45b09251416c9103aed9
mov_tmdb_35056,Shawn Levy,17825,/uZ40wDFzxPmzROJl9KxPgEGv9ME.jpg,Directing,Director,52fe458e9251416c91036863
mov_tmdb_35552,Luc Besson,59,/dXJdczT1NcvcZtnoWVGT0NmG11v.jpg,Directing,Director,52fe45a89251416c91039d69
mov_tmdb_34803,Neil LaBute,58689,/vc1Cm2RcSdk8F2L427Fp2aQ0P3K.jpg,Directing,Director,52fe457e9251416c91034497
mov_tmdb_38234,Isaac Florentine,78108,/4PJrg3l105M2GMNazhu2DXZ1Wce.jpg,Directing,Director,52fe46a19251416c9105a95b
mov_tmdb_34806,Alan Poul,113225,/wsZwsaJ20PPvndjIYnLiPYFRUEC.jpg,Directing,Director,52fe457e9251416c9103452f
mov_tmdb_34813,Sylvain White,31119,,Directing,Director,52fe457e9251416c91034605
mov_tmdb_10138,Jon Favreau,15277,/8MtRRnEHaBSw8Ztdl8saXiw1egP.jpg,Directing,Director,52fe43329251416c750072b1
mov_tmdb_37472,Wilson Yip,63571,/eGl16WEAQs78qMBJE1CHSDZgYvq.jpg,Directing,Director,52fe464c9251416c9104ff6d
mov_tmdb_23437,Samuel Bayer,20031,/ncpeWtTLPq02uEYTXaxPNZAOmQh.jpg,Directing,Director,52fe4469c3a368484e0219b1
mov_tmdb_35169,Roger Kumble,11873,/njVOmV33aCFRUlBxxLXzLbrmAUS.jpg,Directing,Director,62719b3d6f53e11b4d1ff058
mov_tmdb_20662,Ridley Scott,578,/97SO7H0UlS3racqjeW5JTy8c6GM.jpg,Directing,Director,52fe43f2c3a368484e0076a7
mov_tmdb_37056,Gary Winick,17046,/65IlEyU6HWKTglfAk7cQRelYAbx.jpg,Directing,Director,52fe46259251416c9104ac6d
mov_tmdb_9543,Mike Newell,10723,/zeLnvLZtyJaBP1wWceRM7HWkm0E.jpg,Directing,Director,52fe4507c3a36847f80b80d3
mov_tmdb_38363,Doug Liman,11694,/5pPcmwI7GMZ45CyrYLJ3n0IXm6e.jpg,Directing,Director,52fe46b19251416c9105c8a9
mov_tmdb_10192,Mike Mitchell,64151,/w6ibMbbw7KBrcWxUb7N7h3GEQGO.jpg,Directing,Director,52fe433f9251416c750090bf
mov_tmdb_37786,Michael Patrick King,38023,/oSSgEuyYBhPbwR8FF4ayrVI6EU0.jpg,Directing,Director,52fe466e9251416c910543c5
mov_tmdb_32823,Nicholas Stoller,52934,/247iI9VZHnKB9QteCIUheKAAZtI.jpg,Directing,Director,52fe44e89251416c91021093
mov_tmdb_38579,Tom Dey,46076,/o0i4LNoeN8Bnz2w5mqMm3tDWemw.jpg,Directing,Director,52fe46c79251416c9105f6b5
mov_tmdb_37821,Robert Luketic,36797,/dwescz6qnJ1zWeRLKQIL5X9zT9s.jpg,Directing,Director,52fe46719251416c91054a05
mov_tmdb_34544,Joe Carnahan,40223,/e6cnnUqh6mGIjnRFI4xFc30AqVr.jpg,Directing,Director,52fe456a9251416c9103180d
mov_tmdb_38575,Harald Zwart,21981,,Directing,Director,52fe46c79251416c9105f63b
mov_tmdb_37834,James Mangold,366,/pk0GDjn99crNwR4qgCCEokDYd71.jpg,Directing,Director,52fe46739251416c91054d5b
mov_tmdb_51200,John H. Lee,78866,/dOUNW4Bi292xntqVb6kF2mmZBHG.jpg,Directing,Director,52fe47e6c3a36847f814e3a9
mov_tmdb_10193,Lee Unkrich,8,/crb297utC6W4HSstOe5djDPTwEN.jpg,Directing,Director,52fe433f9251416c75009141
mov_tmdb_24021,David Slade,27571,/9jL9OasecqvhQFvGYQtB4K6omGf.jpg,Directing,Director,52fe447cc3a368484e025f4b
mov_tmdb_38365,Dennis Dugan,17494,/3QH2wJ1eVBLT3Vi2GNVO5TayXEB.jpg,Directing,Director,5e8c9dc74b0c6300142d036b
mov_tmdb_10196,M. Night Shyamalan,11614,/tOhFWjauKvJgjCVLJFnhbBCZuxZ.jpg,Directing,Director,62cb474e4b9bae0a516162d8
mov_tmdb_12819,Anthony Bell,131242,/wBwPXLyDtvwLiRZQHJvHqJTBINz.jpg,Directing,Director,52fe45279251416c7504d743
mov_tmdb_12819,Ben Gluck,61970,/87wKKLh88GPKtF0hJNq6AmD5xnG.jpg,Directing,Director,69587f5d1b00c463ffcbef38
mov_tmdb_34851,Nimród Antal,41671,/x0fSNFKlhcAbbuvFPHPuTSUvOBY.jpg,Directing,Director,52fe45819251416c91034a75
mov_tmdb_20352,Pierre Coffin,124747,/eAA9uWRqHlm1LT3nZfXb7UuPfVb.jpg,Directing,Director,52fe43e3c3a368484e003e95
mov_tmdb_20352,Chris Renaud,124748,/sumBJgBqRkK4XEJ2JYXpad3MTJs.jpg,Directing,Director,52fe43e3c3a368484e003e9b
mov_tmdb_39781,Lisa Cholodenko,75699,/2VUG5YijOlblFET7c5dtsTJSmm6.jpg,Directing,Director,52fe47309251416c9106cfd3
mov_tmdb_41216,Zack Snyder,15217,/iD0GDqkvJXDXiNEZej198hjt3Tt.jpg,Directing,Director,52fe45bcc3a36847f80d7a33
mov_tmdb_27022,Jon Turteltaub,12962,/embHCkQj1fs1PaISQSQQbi9TjHj.jpg,Directing,Director,52fe4528c3a368484e04b981
mov_tmdb_27205,Christopher Nolan,525,/xuAIuYSmsUzKlUMBFGVZaWsY3DZ.jpg,Directing,Director,5e83ac2ee33f830018359a00
mov_tmdb_51739,Hiromasa Yonebayashi,144476,/bV0Xg5JHzTdcCDaLX7fKHn3gYH2.jpg,Directing,Director,52fe4801c3a36847f8153cb1
mov_tmdb_27576,Phillip Noyce,13015,/6i0Or09DucNCJU9DxYv23drIrMN.jpg,Directing,Director,52fe4555c3a368484e05409b
mov_tmdb_44560,Feng Xiaogang,1287732,/lOzjy8W2JxlOF4vBtL3Ev7uXdpV.jpg,Directing,Director,52fe468fc3a36847f810591d
