movie_key,tmdb_id,imdb_id,wikidata_qid,original_title,runtime_minutes,original_language,overview,poster_path,homepage,tagline,status,tmdb_popularity,tmdb_vote_average,tmdb_vote_count
mov_tmdb_10193,10193,tt0435761,Q187278,Toy Story 3,103,en,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg,http://disney.go.com/toystory/,No toy gets left behind.,Released,43.6798,7.8,15893
mov_tmdb_12155,12155,tt1014759,Q174385,Alice in Wonderland,108,en,"Alice, now 19 years old, returns to the whimsical world she first entered as a child and embarks on a journey to discover her true destiny.",/o0kre9wRCZz3jjSjaru7QU0UtFz.jpg,https://movies.disney.com/alice-in-wonderland-2010,You're invited to a very important date.,Released,14.2149,6.644,14876
mov_tmdb_12444,12444,tt0926084,Q161678,Harry Potter and the Deathly Hallows: Part 1,146,en,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",/iGoXIpQb7Pot00EEdwpwPajheZ5.jpg,https://www.warnerbros.com/movies/harry-potter-and-deathly-hallows-part-1,Nowhere is safe.,Released,24.2322,7.735,20489
mov_tmdb_27205,27205,tt1375666,Q25188,Inception,148,en,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",/xlaY2zyzMfkhk0HSC5VUwzoZPU1.jpg,https://www.warnerbros.com/movies/inception,Your mind is the scene of the crime.,Released,45.0453,8.372,39495
mov_tmdb_10192,10192,tt0892791,Q208131,Shrek Forever After,93,en,"A midlife-crisis burdened Shrek, longing for the days when he felt like a real ogre, makes a pact with magic deal-maker Rumpelstiltskin. But when he's duped and sent to a twisted version of Far Far Away—where Rumpelstiltskin is king, ogres are hunted, and he and Fiona have never met—he sets out to restore his world and reclaim his true love.",/6HrfPZtKcGmX2tUWW3cnciZTaSD.jpg,http://www.shrekforeverafter.com/,It ain't ogre... til it's ogre.,Released,11.1974,6.406,7998
mov_tmdb_24021,24021,tt1325004,Q217010,The Twilight Saga: Eclipse,124,en,"Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.",/dK4Gi1UdMiHzHc7r7CZQG4IQ9Sr.jpg,http://eclipsethemovie.com,It all begins... with a choice.,Released,9.7738,6.192,9277
mov_tmdb_10138,10138,tt1228705,Q205028,Iron Man 2,124,en,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg,https://www.marvel.com/movies/iron-man-2,"It's not the armor that makes the hero, but the man inside.",Released,17.6497,6.855,22499
mov_tmdb_38757,38757,tt0398286,Q188439,Tangled,100,en,"Feisty teenager Rapunzel, who has long and magical hair, wants to go and see sky lanterns on her eighteenth birthday, but she's bound to a tower by her overprotective mother. She strikes a deal with Flynn Rider, a charming wanted thief, and the duo set off on an action-packed escapade.",/ym7Kst6a4uodryxqbGOxmewF235.jpg,http://disney.go.com/disneypictures/tangled/,They're taking adventure to new lengths.,Released,17.3893,7.613,12463
mov_tmdb_20352,20352,tt1323594,Q4447,Despicable Me,95,en,"Determined to prove he's the world's greatest supervillain, Gru hatches an audacious plan to steal the Moon. To pull it off, he adopts three orphaned girls—Margo, Edith, and Agnes—intending to use them as part of his scheme. But the unexpected bond they form forces him to question the life he's always known.",/b1BT309QWjtFUlJPLmXmrcHOWEL.jpg,http://www.despicable.me/,Superbad. Superdad.,Released,24.8742,7.26,16126
mov_tmdb_10191,10191,tt0892769,Q373096,How to Train Your Dragon,98,en,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.",/ygGmAO60t8GyqUo9xYeYxSZAR3b.jpg,http://www.howtotrainyourdragon.com/,What started as fire and fury will become friendship.,Released,13.8587,7.863,14460
